date,product_id,demand,lead_time,ordering_cost,holding_cost_percent,unit_cost
01-01-2024,A,117,5,50,2,350
02-01-2024,A,116,5,50,2,350
03-01-2024,A,126,5,50,2,350
04-01-2024,A,122,5,50,2,350
05-01-2024,A,127,5,50,2,350
06-01-2024,A,160,5,50,2,350
07-01-2024,A,171,5,50,2,350
08-01-2024,A,122,5,50,2,350
09-01-2024,A,123,5,50,2,350
10-01-2024,A,126,5,50,2,350
11-01-2024,A,129,5,50,2,350
12-01-2024,A,134,5,50,2,350
13-01-2024,A,175,5,50,2,350
14-01-2024,A,173,5,50,2,350
15-01-2024,A,139,5,50,2,350
16-01-2024,A,130,5,50,2,350
17-01-2024,A,140,5,50,2,350
18-01-2024,A,140,5,50,2,350
19-01-2024,A,139,5,50,2,350
20-01-2024,A,179,5,50,2,350
21-01-2024,A,176,5,50,2,350
22-01-2024,A,141,5,50,2,350
23-01-2024,A,139,5,50,2,350
24-01-2024,A,144,5,50,2,350
25-01-2024,A,145,5,50,2,350
26-01-2024,A,145,5,50,2,350
27-01-2024,A,190,5,50,2,350
28-01-2024,A,192,5,50,2,350
29-01-2024,A,146,5,50,2,350
30-01-2024,A,144,5,50,2,350
31-01-2024,A,154,5,50,2,350
01-02-2024,A,146,5,50,2,350
02-02-2024,A,157,5,50,2,350
03-02-2024,A,192,5,50,2,350
04-02-2024,A,198,5,50,2,350
05-02-2024,A,159,5,50,2,350
06-02-2024,A,151,5,50,2,350
07-02-2024,A,161,5,50,2,350
08-02-2024,A,158,5,50,2,350
09-02-2024,A,161,5,50,2,350
10-02-2024,A,202,5,50,2,350
11-02-2024,A,204,5,50,2,350
12-02-2024,A,160,5,50,2,350
13-02-2024,A,165,5,50,2,350
14-02-2024,A,169,5,50,2,350
15-02-2024,A,169,5,50,2,350
16-02-2024,A,167,5,50,2,350
17-02-2024,A,205,5,50,2,350
18-02-2024,A,211,5,50,2,350
19-02-2024,A,165,5,50,2,350
20-02-2024,A,174,5,50,2,350
21-02-2024,A,173,5,50,2,350
22-02-2024,A,170,5,50,2,350
23-02-2024,A,178,5,50,2,350
24-02-2024,A,215,5,50,2,350
25-02-2024,A,210,5,50,2,350
26-02-2024,A,171,5,50,2,350
27-02-2024,A,178,5,50,2,350
28-02-2024,A,182,5,50,2,350
29-02-2024,A,182,5,50,2,350
01-03-2024,A,181,5,50,2,350
02-03-2024,A,220,5,50,2,350
03-03-2024,A,217,5,50,2,350
04-03-2024,A,180,5,50,2,350
05-03-2024,A,182,5,50,2,350
06-03-2024,A,190,5,50,2,350
07-03-2024,A,182,5,50,2,350
08-03-2024,A,184,5,50,2,350
09-03-2024,A,231,5,50,2,350
10-03-2024,A,231,5,50,2,350
11-03-2024,A,194,5,50,2,350
12-03-2024,A,194,5,50,2,350
13-03-2024,A,193,5,50,2,350
14-03-2024,A,188,5,50,2,350
15-03-2024,A,193,5,50,2,350
16-03-2024,A,233,5,50,2,350
17-03-2024,A,241,5,50,2,350
18-03-2024,A,192,5,50,2,350
19-03-2024,A,200,5,50,2,350
20-03-2024,A,194,5,50,2,350
21-03-2024,A,201,5,50,2,350
22-03-2024,A,199,5,50,2,350
23-03-2024,A,238,5,50,2,350
24-03-2024,A,246,5,50,2,350
01-01-2024,B,76,3,75,2,170.95
02-01-2024,B,84,3,75,2,170.95
03-01-2024,B,85,3,75,2,170.95
04-01-2024,B,81,3,75,2,170.95
05-01-2024,B,88,3,75,2,170.95
06-01-2024,B,117,3,75,2,170.95
07-01-2024,B,110,3,75,2,170.95
08-01-2024,B,88,3,75,2,170.95
09-01-2024,B,86,3,75,2,170.95
10-01-2024,B,91,3,75,2,170.95
11-01-2024,B,92,3,75,2,170.95
12-01-2024,B,92,3,75,2,170.95
13-01-2024,B,114,3,75,2,170.95
14-01-2024,B,120,3,75,2,170.95
15-01-2024,B,92,3,75,2,170.95
16-01-2024,B,87,3,75,2,170.95
17-01-2024,B,87,3,75,2,170.95
18-01-2024,B,89,3,75,2,170.95
19-01-2024,B,90,3,75,2,170.95
20-01-2024,B,129,3,75,2,170.95
21-01-2024,B,131,3,75,2,170.95
22-01-2024,B,95,3,75,2,170.95
23-01-2024,B,96,3,75,2,170.95
24-01-2024,B,93,3,75,2,170.95
25-01-2024,B,102,3,75,2,170.95
26-01-2024,B,102,3,75,2,170.95
27-01-2024,B,128,3,75,2,170.95
28-01-2024,B,130,3,75,2,170.95
29-01-2024,B,106,3,75,2,170.95
30-01-2024,B,103,3,75,2,170.95
31-01-2024,B,100,3,75,2,170.95
01-02-2024,B,105,3,75,2,170.95
02-02-2024,B,108,3,75,2,170.95
03-02-2024,B,140,3,75,2,170.95
04-02-2024,B,140,3,75,2,170.95
05-02-2024,B,104,3,75,2,170.95
06-02-2024,B,113,3,75,2,170.95
07-02-2024,B,110,3,75,2,170.95
08-02-2024,B,109,3,75,2,170.95
09-02-2024,B,107,3,75,2,170.95
10-02-2024,B,141,3,75,2,170.95
11-02-2024,B,139,3,75,2,170.95
12-02-2024,B,111,3,75,2,170.95
13-02-2024,B,119,3,75,2,170.95
14-02-2024,B,114,3,75,2,170.95
15-02-2024,B,119,3,75,2,170.95
16-02-2024,B,114,3,75,2,170.95
17-02-2024,B,145,3,75,2,170.95
18-02-2024,B,152,3,75,2,170.95
19-02-2024,B,114,3,75,2,170.95
20-02-2024,B,120,3,75,2,170.95
21-02-2024,B,119,3,75,2,170.95
22-02-2024,B,122,3,75,2,170.95
23-02-2024,B,120,3,75,2,170.95
24-02-2024,B,149,3,75,2,170.95
25-02-2024,B,158,3,75,2,170.95
26-02-2024,B,128,3,75,2,170.95
27-02-2024,B,127,3,75,2,170.95
28-02-2024,B,124,3,75,2,170.95
29-02-2024,B,127,3,75,2,170.95
01-03-2024,B,125,3,75,2,170.95
02-03-2024,B,155,3,75,2,170.95
03-03-2024,B,155,3,75,2,170.95
04-03-2024,B,132,3,75,2,170.95
05-03-2024,B,127,3,75,2,170.95
06-03-2024,B,134,3,75,2,170.95
07-03-2024,B,131,3,75,2,170.95
08-03-2024,B,134,3,75,2,170.95
09-03-2024,B,165,3,75,2,170.95
10-03-2024,B,168,3,75,2,170.95
11-03-2024,B,132,3,75,2,170.95
12-03-2024,B,141,3,75,2,170.95
13-03-2024,B,136,3,75,2,170.95
14-03-2024,B,138,3,75,2,170.95
15-03-2024,B,136,3,75,2,170.95
16-03-2024,B,172,3,75,2,170.95
17-03-2024,B,169,3,75,2,170.95
18-03-2024,B,137,3,75,2,170.95
19-03-2024,B,143,3,75,2,170.95
20-03-2024,B,141,3,75,2,170.95
21-03-2024,B,145,3,75,2,170.95
22-03-2024,B,144,3,75,2,170.95
23-03-2024,B,178,3,75,2,170.95
24-03-2024,B,181,3,75,2,170.95
01-01-2024,C,145,3,43,2,200.68
02-01-2024,C,148,3,43,2,200.68
03-01-2024,C,148,3,43,2,200.68
04-01-2024,C,149,3,43,2,200.68
05-01-2024,C,156,3,43,2,200.68
06-01-2024,C,203,3,43,2,200.68
07-01-2024,C,203,3,43,2,200.68
08-01-2024,C,158,3,43,2,200.68
09-01-2024,C,163,3,43,2,200.68
10-01-2024,C,162,3,43,2,200.68
11-01-2024,C,158,3,43,2,200.68
12-01-2024,C,162,3,43,2,200.68
13-01-2024,C,210,3,43,2,200.68
14-01-2024,C,210,3,43,2,200.68
15-01-2024,C,161,3,43,2,200.68
16-01-2024,C,170,3,43,2,200.68
17-01-2024,C,172,3,43,2,200.68
18-01-2024,C,172,3,43,2,200.68
19-01-2024,C,175,3,43,2,200.68
20-01-2024,C,226,3,43,2,200.68
21-01-2024,C,227,3,43,2,200.68
22-01-2024,C,178,3,43,2,200.68
23-01-2024,C,181,3,43,2,200.68
24-01-2024,C,181,3,43,2,200.68
25-01-2024,C,174,3,43,2,200.68
26-01-2024,C,177,3,43,2,200.68
27-01-2024,C,236,3,43,2,200.68
28-01-2024,C,230,3,43,2,200.68
29-01-2024,C,185,3,43,2,200.68
30-01-2024,C,186,3,43,2,200.68
31-01-2024,C,184,3,43,2,200.68
01-02-2024,C,183,3,43,2,200.68
02-02-2024,C,189,3,43,2,200.68
03-02-2024,C,244,3,43,2,200.68
04-02-2024,C,236,3,43,2,200.68
05-02-2024,C,188,3,43,2,200.68
06-02-2024,C,188,3,43,2,200.68
07-02-2024,C,196,3,43,2,200.68
08-02-2024,C,197,3,43,2,200.68
09-02-2024,C,198,3,43,2,200.68
10-02-2024,C,246,3,43,2,200.68
11-02-2024,C,245,3,43,2,200.68
12-02-2024,C,195,3,43,2,200.68
13-02-2024,C,201,3,43,2,200.68
14-02-2024,C,201,3,43,2,200.68
15-02-2024,C,209,3,43,2,200.68
16-02-2024,C,205,3,43,2,200.68
17-02-2024,C,251,3,43,2,200.68
18-02-2024,C,256,3,43,2,200.68
19-02-2024,C,207,3,43,2,200.68
20-02-2024,C,205,3,43,2,200.68
21-02-2024,C,214,3,43,2,200.68
22-02-2024,C,213,3,43,2,200.68
23-02-2024,C,214,3,43,2,200.68
24-02-2024,C,269,3,43,2,200.68
25-02-2024,C,262,3,43,2,200.68
26-02-2024,C,215,3,43,2,200.68
27-02-2024,C,214,3,43,2,200.68
28-02-2024,C,218,3,43,2,200.68
29-02-2024,C,219,3,43,2,200.68
01-03-2024,C,223,3,43,2,200.68
02-03-2024,C,273,3,43,2,200.68
03-03-2024,C,275,3,43,2,200.68
04-03-2024,C,226,3,43,2,200.68
05-03-2024,C,227,3,43,2,200.68
06-03-2024,C,231,3,43,2,200.68
07-03-2024,C,229,3,43,2,200.68
08-03-2024,C,232,3,43,2,200.68
09-03-2024,C,276,3,43,2,200.68
10-03-2024,C,281,3,43,2,200.68
11-03-2024,C,231,3,43,2,200.68
12-03-2024,C,230,3,43,2,200.68
13-03-2024,C,237,3,43,2,200.68
14-03-2024,C,238,3,43,2,200.68
15-03-2024,C,238,3,43,2,200.68
16-03-2024,C,287,3,43,2,200.68
17-03-2024,C,295,3,43,2,200.68
18-03-2024,C,241,3,43,2,200.68
19-03-2024,C,241,3,43,2,200.68
20-03-2024,C,241,3,43,2,200.68
21-03-2024,C,241,3,43,2,200.68
22-03-2024,C,249,3,43,2,200.68
23-03-2024,C,296,3,43,2,200.68
24-03-2024,C,298,3,43,2,200.68
